,dataset,1Pauc,1mAauc,1Pamf1,1mAamf1,1Paap,1mAaap,2Pauc_mean,2Pauc_std,2Mauc_mean,2Mauc_std,2Pamf1_mean,2Pamf1_std,2Mamf1_mean,2Mamf1_std,2Paap_mean,2Paap_std,2Maap_mean,2Maap_std
29,7_Cardiotocography.npz,0.6711139005791908,0.6955758573273887,0.29902339270697953,0.31040944186919267,0.25419032806061065,0.3788246625928645,0.5952775227517849,0.03933518540266825,0.610557333309564,0.03848672921123016,0.26049598736775853,0.08076501151829277,0.25545332429156387,0.05737172543417117,0.25751927150065157,0.10135249711698008,0.30347662911753404,0.1004145460394948
30,19_landsat.npz,0.5653209411721806,0.551009003720942,0.19413913844456027,0.1846214182870112,0.0862303188146537,-0.04310715592739054,0.5447613653245436,0.011469646818678446,0.549982994962816,0.0038494945561418346,0.19790685929613386,0.004955312610589848,0.19929516722313703,0.0031801878397129256,-0.005266960229126771,0.028282243376410714,0.05440950124192301,0.03985247457281734
31,18_Ionosphere.npz,0.8657142857142857,0.8770899470899471,0.6961038961038962,0.6796428571428571,0.92925985991604,0.9167660500990735,0.8025641025641026,0.044944328839849064,0.8262735042735043,0.05924830711854284,0.6126046511627907,0.1002878674822339,0.6523322525619492,0.10831888312126497,0.5755850067144503,0.2131601596126567,0.584619199024933,0.16383190290574143
32,42_WBC.npz,0.9399061032863849,0.9812206572769954,0.4515984797674938,0.7144686299615878,0.22388721216186006,0.7255084208957449,0.6358803986710964,0.12121306963094809,0.7857696566998893,0.18829036972626403,0.31707340010633683,0.2409483806092126,0.5222057287371488,0.3409491870941062,0.16234772978959025,0.3054121521354525,0.26705426356589146,0.3847166197737914
33,20_letter.npz,0.8758666666666667,0.8843200000000001,0.32545587162655,0.35584415584415585,0.19358914235104133,0.31927925643450444,0.6916666666666667,0.06662498697102229,0.7103333333333334,0.07600730959000662,0.33056580382510337,0.12028532134325719,0.3748674725287115,0.13265233400863355,0.11239048629389185,0.2925341139918515,0.09525548090253973,0.11125437452879582
34,26_optdigits.npz,0.6214232135807343,0.6281576523226741,0.07311286837412054,0.05716293355381914,0.042516039893987466,0.05092334505657341,0.6156014221433008,0.02249631099603632,0.6167618396739817,0.04404276235779331,0.1483006785059184,0.06886160962427057,0.19115540930770517,0.05145786413066512,0.12135436681560452,0.18888557579896165,0.022910886873440915,0.10505178361855015
35,6_cardio.npz,0.8689096402087338,0.9275405108486678,0.40112410807274856,0.5059719926276387,0.3305691011356537,0.5755578718921888,0.7454078549848943,0.05206341949176052,0.7655409293626817,0.016597935816898567,0.4036116100309702,0.037104636972350315,0.5118168275653806,0.0548897942406277,0.21281596192275778,0.24571333919841384,0.28006021687650806,0.19064335065685684
36,44_Wilt.npz,0.6268318728388975,0.5701335853446762,0.11221596096505161,0.1000428239069478,-0.05133023630729357,-0.05520551004878712,0.6064126496677134,0.013123558037830142,0.7019978613277505,0.033394601971746186,0.2530098938713822,0.12150814243000001,0.2881327025875786,0.032571924779032,0.26582460641769423,0.2666616459141189,0.08222520271374309,0.11697105016682291
37,23_mammography.npz,0.8596164409608518,0.8674539961549026,0.22483488314304026,0.25312733095903817,0.36990766968181993,0.3547672692878866,0.7233787436819474,0.018416105454528937,0.6733144315638595,0.027517356790878526,0.11897138943898496,0.007547866813013608,0.19500021600656317,0.014277112783990372,0.05702487841948215,0.06327607037593132,0.097174166254021,0.0971256905816125
38,47_yeast.npz,0.4380050833873368,0.41917353569979343,0.2659537564827862,0.2566584528068735,-0.08527343964690429,-0.05824415913676849,0.528233745897445,0.011114391873507854,0.5759666654171188,0.032819165419307,0.2599141154326673,0.003231199454287212,0.26269408212805667,0.00831049296880949,0.05656132817634778,0.031129594608688454,0.12389371084873532,0.13136321041517446
39,28_pendigits.npz,0.8399097179258037,0.9440472644225996,0.1600309444733437,0.3073924440096485,0.25244035557061273,0.28954361080777397,0.7511493439829039,0.03521946960730552,0.7798876653289658,0.04839411849633566,0.15983581341153413,0.021407425992731592,0.3913104720208125,0.056191951394262855,0.04694637636439173,0.045841498341657905,0.26762174783610837,0.11654030599993474
40,39_vertebral.npz,0.39666666666666667,0.3816666666666667,0.2106038291605302,0.16326530612244897,-0.12772390576088727,-0.12581914385612536,0.5547619047619048,0.04971574528052643,0.46428571428571425,0.05270462766947299,0.7658874458874458,0.08787533313747511,0.6289424860853432,0.17000752282925538,0.8888888888888887,0.060367564820341446,0.08698412698412696,0.2713244021774142
41,40_vowels.npz,0.948719772403983,0.9540540540540541,0.3902766514670105,0.4661389077865051,0.45880181353177024,0.44902734984587317,0.7158703717725449,0.11428690132115965,0.6840021705661139,0.050401275169304725,0.29327620011485056,0.11369234089645586,0.3552864849296583,0.0661358817475718,-0.007896977432602481,0.045183507689725115,0.21902778368694173,0.1803804047489969
42,14_glass.npz,0.8531165311653117,0.8249322493224932,0.25916601101494885,0.20012670256572693,0.07158041897879297,0.07158041897879297,0.5329268292682927,0.09122733760617097,0.5853658536585366,0.13049350340873594,0.36533162173727,0.19754339528647735,0.5390243902439024,0.15135058573294435,0.11341463414634143,0.3123380008416841,0.42804878048780487,0.3794505875131425
43,24_mnist.npz,0.8132596593613542,0.8403694046066926,0.30846789855038603,0.34156313598523214,0.29997380822242825,0.3933165805273699,0.6931177935393531,0.017705079853219216,0.7114149587045724,0.02902034458336152,0.626665326486399,0.049865228759611975,0.43889431102176424,0.11158024798213469,0.6101807985025124,0.10330713037670045,0.23477175285139698,0.27450965968597335
44,29_Pima.npz,0.6201902985074628,0.6372238805970148,0.28504504504504513,0.2994341463414635,0.23259233535196,0.25431927200360155,0.5474800838574424,0.05687695882718183,0.5463088749126485,0.02203351068484094,0.2740962974596354,0.020197526253348735,0.2641292172545466,0.007775918401218718,0.09904570356686662,0.16302675965655902,0.100413014059207,0.0637917422124414
45,34_smtp.npz,0.9075142442655006,0.9133514146150019,0.06058663009832893,0.4072205207751746,-0.0003153711918928579,0.4705467501258311,0.9268209155104579,0.061636346644587024,0.9156995281234215,0.05257209922919319,0.11149268042823776,0.08283764040225357,0.36116148177730867,0.09037107158370582,-0.0003153711920322601,6.630390144584699e-09,0.16807104839682924,0.20542202891664718
46,25_musk.npz,0.7997148867370177,0.9445107004398394,0.1694511990715767,0.399237903748865,0.08729367532003526,0.1283986811674939,0.8346609567764267,0.06631117931097356,0.873369574864649,0.06144908245404313,0.4619581800101217,0.1687044658054671,0.6792265241418406,0.10556512196408789,0.317618161016965,0.42267489422428184,0.25584515157823057,0.12453315031031642
